"FECH","ADUANA","PAIS4","CODPAI4","CODSAL3","ODSAL3","DEPTOPROCED","VIA4","BANDERA4","REGIMEN4","MODAD4","FORPA4","CERORI3","SISESP4","POSARA","DPTOR4","UNIDAD4","CODUNI4","CANTIDA4","PBK4","PNK4","FOBDOL4","FOBPES4","AGRENA4","FLETES4","SEGURO4","OTROSG4"
504,"02",47,"ANT",2,"BAQ","08",1,"580",1,"198",1,8,2,3401191000,"11",33,"KG",1560,1560,1560,1504.32,3556152.31,0,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"580",1,"198",1,8,2,3401200000,"11",33,"KG",51,52,51,29.4,69500.42,0,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"580",1,"198",1,8,2,3402200000,"11",33,"KG",515,525.13,515,422.01,997614.76,0,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"580",1,"198",1,8,2,3808401000,"11",33,"KG",2307,2352.4,2307,1020.6,2412657.58,0,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"580",1,"198",1,8,2,4015909000,"11",11,"U",3312,116.91,107.15,1887.84,4462778.24,0,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"580",1,"198",1,8,2,4417009000,"11",11,"U",10000,2008.76,1970,2634.6,6228089.02,0,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"580",1,"198",1,8,2,6805100000,"11",33,"KG",22,22.43,22,224.86,531560.05,0,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"580",1,"198",1,8,2,6805300000,"11",33,"KG",317,323.23,317,3324,7857803.04,0,0,0,0
504,"02",47,"ANT",2,"BAQ","08",1,"580",1,"198",1,8,2,9603909000,"11",11,"U",1340,228.41,224,1726.82,4082133.41,0,0,0,0
504,"02",47,"ANT",2,"BAQ","08",4,"169",1,"198",1,8,2,201100000,"08",33,"KG",3325.2,3344.84,3325.2,6151.62,14531848.89,0,522.57,0,0
504,"02",47,"ANT",2,"BAQ","08",4,"169",1,"198",1,8,2,201300090,"08",33,"KG",5426.4,5458.45,5426.4,10406.88,24583964.49,0,884.04,0,0
504,"02",47,"ANT",2,"BAQ","08",4,"169",1,"198",1,8,2,204210000,"08",33,"KG",5598.4,5631.46,5598.4,12596.4,29756223.79,0,1070.03,0,0
504,"02",47,"ANT",2,"BAQ","08",4,"169",1,"198",1,8,2,206100000,"08",33,"KG",550,553.25,550,275,649627,0,23.36,0,0
504,"02",47,"ANT",2,"BAQ","11",1,"043",1,"198",1,8,2,4419000000,"11",11,"U",105,1232.5,962,2409.6,5694439.01,0,0,0,0
