"FECH","ADUANA","PAIS4","CODPAI4","CODSAL3","ODSAL3","DEPTOPROCED","VIA4","BANDERA4","REGIMEN4","MODAD4","FORPA4","CERORI3","SISESP4","POSARA","DPTOR4","UNIDAD4","CODUNI4","CANTIDA4","PBK4","PNK4","FOBDOL4","FOBPES4","AGRENA4","FLETES4","SEGURO4","OTROSG4"
501,"02",97,"BOL",2,"BAQ","08",1,"097",1,"198",1,1,1,3503001000,"08",33,"KG",5000,5074,5000,21210,50269396.8,18664.8,1040,0,0
501,"02",97,"BOL",3,"BOG","08",4,"169",1,"198",1,2,1,3004201900,"08",33,"KG",93,105,93,2306.5,5423111.99,1987.75,0,0,0
501,"02",97,"BOL",3,"BOG","08",4,"169",1,"198",1,2,1,3004401900,"08",33,"KG",560,609,560,6869.25,16151186.68,5614.92,0,0,0
501,"02",97,"BOL",3,"BOG","08",4,"169",1,"198",1,2,1,3004501000,"08",33,"KG",259,282.62,259,5846.81,13747195.07,3692.08,0,0,0
501,"02",97,"BOL",3,"BOG","08",4,"169",1,"198",1,2,1,3004902900,"08",33,"KG",483,536.38,483,18064.22,42473135.98,17669.3,0,0,0
501,"02",105,"BRA",2,"BAQ","08",1,"047",1,"198",1,8,2,8437109000,"08",11,"U",6,3066,3054,19950,47358507,0,0,0,0
501,"02",105,"BRA",2,"BAQ","08",1,"472",1,"198",1,2,1,9602001000,"08",33,"KG",3030,4314,3030,52020,122310984.6,48742.74,0,0,0
501,"02",105,"BRA",2,"BAQ","08",1,"573",1,"198",1,2,1,9602001000,"08",33,"KG",2822,4062,2822,69791.25,165674656.7,65394.4,0,0,0
501,"02",105,"BRA",2,"BAQ","08",1,"573",1,"198",1,2,1,9602009000,"08",11,"U",970000,154,108,4832.5,11471678.45,3241.16,0,0,0
501,"02",105,"BRA",3,"BOG","08",4,"169",1,"198",1,2,1,3824600000,"08",33,"KG",35,37,35,162.4,385315.11,162.4,307.16,0.8,0
501,"02",105,"BRA",6,"CTG","08",1,"043",1,"198",1,2,1,9018312000,"08",11,"U",3500000,44795.18,33308.6,134184,318143554.8,55910,0,0,0
501,"02",105,"BRA",6,"CTG","08",1,"043",1,"198",1,2,1,9018320000,"08",13,"MIL",9050.4,11157.17,8296.2,99239.28,235291370.9,41206,0,0,0
501,"02",105,"BRA",6,"CTG","08",1,"043",1,"198",1,2,1,9018390000,"08",11,"U",243000,1584.98,1178.55,43100,102187945,41011,0,0,0
501,"02",149,"CAN",2,"BAQ","08",1,"043",1,"198",1,6,1,3004501000,"08",33,"KG",1278,1420,1278,8052.88,18847121.41,4532.97,1150.16,41.15,0
501,"02",149,"CAN",2,"BAQ","08",1,"043",1,"198",1,6,1,3004902900,"08",33,"KG",9361,10387,9361,114011.59,265387812.2,76672.79,9249.84,401.81,0
501,"02",149,"CAN",2,"BAQ","08",1,"043",1,"198",1,6,2,7019390000,"25",33,"KG",13352,13580,13352,18327.56,43453270.19,0,0,0,0
501,"02",149,"CAN",2,"BAQ","08",1,"573",1,"198",1,5,2,3503001000,"08",33,"KG",18000,18100,18000,12679,30098170.94,0,3476,45,0
501,"02",149,"CAN",2,"BAQ","08",4,"169",1,"004",2,8,2,9805000000,"08",11,"U",152,199,186,100,234042,0,0,0,0
501,"02",149,"CAN",3,"BOG","08",4,"169",1,"198",1,8,2,8414590000,"08",11,"U",1,550,500,5000,11869300,0,0,0,0
501,"02",190,"KOR",2,"BAQ","08",1,"573",1,"198",1,8,1,9503900000,"08",11,"U",3241000,8006.05,7470.84,67892.63,161167598.7,53328.01,1960.99,174.63,286.25
501,"02",190,"KOR",2,"BAQ","08",1,"573",1,"198",1,8,2,3923290000,"08",11,"U",1200,12.14,11.34,1.2,2848.63,0,0,0,0
501,"02",190,"KOR",3,"BOG","08",4,"169",1,"198",1,8,1,9503900000,"08",11,"U",361000,985,927.96,8044.41,18914258.13,6223.73,0,0,0
501,"02",196,"CRI",2,"BAQ","05",1,"043",1,"002",2,8,2,2827410000,"05",33,"KG",34,37.4,34,1,2371.77,0,0,0,0
501,"02",196,"CRI",2,"BAQ","05",1,"043",1,"002",2,8,2,2833301000,"05",33,"KG",34,37.4,34,1,2371.77,0,0,0,0
501,"02",196,"CRI",2,"BAQ","05",1,"043",1,"002",2,8,2,3103100000,"05",33,"KG",68,74.8,68,2,4743.54,0,0,0,0
501,"02",196,"CRI",2,"BAQ","05",1,"043",1,"002",2,8,2,3104909000,"05",33,"KG",34,37.4,34,1,2371.77,0,0,0,0
501,"02",196,"CRI",2,"BAQ","08",1,"043",1,"198",1,7,1,3808209090,"08",33,"KG",111658.26,114127,111658.26,210508.8,499278456.6,100917.5,2400,0,0
501,"02",196,"CRI",2,"BAQ","08",1,"043",1,"198",1,8,1,2530900000,"08",33,"KG",40000,41000,40000,9600,22571808,9528.67,1685,0,0
501,"02",196,"CRI",2,"BAQ","08",1,"043",1,"198",1,8,1,2833210000,"08",33,"KG",78000,78128.94,78000,14157,33577147.89,9749.92,3197.3,0,0
501,"02",196,"CRI",2,"BAQ","08",1,"043",1,"198",1,8,1,2833220000,"08",33,"KG",10000,10016.5,10000,2165,5134882.05,1342.3,473.25,0,0
501,"02",196,"CRI",2,"BAQ","08",1,"043",1,"198",1,8,1,2833250000,"08",33,"KG",2000,2003.36,2000,2263,5367315.51,2234.93,296.98,0,0
501,"02",196,"CRI",2,"BAQ","08",1,"043",1,"198",1,8,1,2833291000,"08",33,"KG",5000,5008.4,5000,1257,2981314.89,1207.47,164.96,0,0
501,"02",196,"CRI",2,"BAQ","08",1,"043",1,"198",1,8,1,3808209090,"08",33,"KG",221914.45,226621.2,221914.45,418377.6,990439837.6,200821.25,5200,931.88,0
501,"02",196,"CRI",2,"BAQ","08",1,"043",1,"198",1,8,1,6905100000,"08",11,"U",47700,48092.8,47692.8,6306.96,15020277.52,6306.96,0,0,0
501,"02",196,"CRI",2,"BAQ","08",1,"043",1,"198",1,8,2,2503000000,"08",33,"KG",5000,5008.4,5000,1107.5,2626735.28,0,217.5,0,0
501,"02",196,"CRI",2,"BAQ","08",1,"043",1,"198",1,8,2,7307190000,"08",33,"KG",284,284,284,735.93,1745456.7,0,60.8,3.7,0
501,"02",196,"CRI",2,"BAQ","08",1,"043",1,"198",1,8,2,7307910000,"08",33,"KG",63,63,63,201.14,477057.82,0,16.62,1.01,0
501,"02",196,"CRI",2,"BAQ","08",1,"043",1,"198",1,8,2,7325100000,"08",11,"U",3100,18150,18150,13346.92,31655824.45,0,1102.58,67.08,0
501,"02",196,"CRI",2,"BAQ","08",1,"472",1,"198",1,8,1,4410320000,"08",67,"M3",107.74,70500,68448,24265.92,57354993.21,21087.58,3908.16,0,0
501,"02",196,"CRI",2,"BAQ","08",1,"472",1,"198",1,8,1,7212100000,"05",33,"KG",12244,12529,12244,13080,31257930,1862.59,825,0,0
501,"02",196,"CRI",2,"BAQ","08",1,"472",1,"198",1,8,2,6815990000,"08",33,"KG",6326.8,7759.26,6326.8,25077.17,58962194.44,0,0,0,0
501,"02",196,"CRI",2,"BAQ","08",1,"472",1,"198",1,8,2,7006000000,"08",33,"KG",80.7,98.97,80.7,341.28,802427.78,0,0,0,0
501,"02",196,"CRI",2,"BAQ","08",1,"472",1,"198",1,8,2,7009920000,"08",11,"U",38,581.07,473.8,2515.09,5913555.05,0,0,0,0
501,"02",196,"CRI",2,"BAQ","08",1,"472",1,"198",1,8,2,9405200000,"08",11,"U",22,690.71,563.2,2304.91,5419373.53,0,0,0,0
501,"02",196,"CRI",2,"BAQ","08",1,"573",1,"198",1,8,1,3808209090,"08",33,"KG",27789.59,28379,27789.59,52392,125203782,25148.16,650,116.69,0
501,"02",196,"CRI",2,"BAQ","08",1,"573",1,"198",1,8,1,4410320000,"08",67,"M3",71.83,94000,91201,30202.04,71927366.34,30202.04,5210.24,0,0
501,"02",196,"CRI",2,"BAQ","08",1,"573",1,"198",1,8,1,6905100000,"25",11,"U",21358,21590,21350,4720.54,11242154.83,4720.54,1060,11.56,0
501,"02",196,"CRI",2,"BAQ","08",1,"573",1,"198",1,8,1,7408110000,"08",33,"KG",400004,403784,400004,1360285.77,3149673686,158166.33,16540,0,0
501,"02",196,"CRI",2,"BAQ","08",1,"573",1,"198",1,8,2,8507100000,"08",11,"U",1013,16797.35,16497.35,19326.66,44749914.9,0,1230,102.54,0
501,"02",196,"CRI",2,"BAQ","08",1,"580",1,"198",1,8,2,3926909090,"08",33,"KG",141.2,166.56,141.2,1338,3172331.1,0,274.05,0,0
501,"02",196,"CRI",2,"BAQ","08",1,"580",1,"198",1,8,2,7419990000,"08",11,"U",120,11.44,9.7,156,369868.2,0,31.95,0,0
501,"02",196,"CRI",2,"BAQ","08",1,"827",1,"198",1,8,1,9018909000,"08",11,"U",60000,1398,1158,8220,19238252.4,3699,1400,0,0
501,"02",196,"CRI",2,"BAQ","08",4,"580",1,"198",1,2,1,9602001000,"08",33,"KG",19,28,19,751.74,1790298.88,704.38,155.6,3,0
501,"02",196,"CRI",2,"BAQ","08",4,"580",1,"198",1,2,2,3003400000,"08",33,"KG",44,50,44,17124,40453052.64,0,140,16,0
501,"02",196,"CRI",2,"BAQ","08",4,"580",1,"198",1,8,1,9506690000,"08",11,"U",100000,349,299,1700,4033471,748.86,407.98,5.52,0
501,"02",196,"CRI",3,"BOG","08",4,"580",1,"198",1,2,1,9602001000,"08",33,"KG",169,248,169,4491,10559373.93,4208.07,764,15,0
501,"02",211,"CHL",2,"BAQ","08",1,"043",1,"198",1,8,1,9503900000,"08",11,"U",2800140,7681.81,7211.42,48334.2,115506654.5,36727.89,1096,136,0
501,"02",211,"CHL",2,"BAQ","08",1,"043",1,"198",2,2,2,9503900000,"08",11,"U",52090,9490,7090,38818,90346954.1,0,0,0,0
501,"02",211,"CHL",2,"BAQ","08",1,"827",1,"198",1,8,1,2835260000,"08",33,"KG",500000,501480,500000,113250,265052565,65410.94,18000,250,0
501,"02",211,"CHL",2,"BAQ","08",1,"827",1,"198",1,8,1,2933710000,"08",33,"KG",51000,51670,51000,104400,244339848,69843.6,2700,0,0
501,"02",211,"CHL",3,"BOG","08",4,"169",1,"198",1,2,1,3004902900,"08",33,"KG",366,439,366,16249.6,38562842.85,12580.44,852.4,48,0
501,"02",211,"CHL",3,"BOG","08",4,"169",1,"198",1,2,1,9602001000,"08",33,"KG",3051,4575.01,3051,93980.75,223322391,88059.98,16357.6,222.99,0
501,"02",211,"CHL",3,"BOG","08",4,"169",1,"198",1,8,1,2106907200,"08",33,"KG",1190,1292.3,1190,5227.84,12399234.08,4125.29,417.43,20.25,0
501,"02",211,"CHL",3,"BOG","08",4,"169",1,"198",1,8,1,2106907300,"08",33,"KG",710,771.04,710,1583.5,3755697.8,1366.88,126.44,6.13,0
501,"02",211,"CHL",3,"BOG","08",4,"169",1,"198",1,8,1,2106909000,"08",33,"KG",3240,3460,3240,5670.74,13329507.12,3884.91,625.16,23.14,0
501,"02",211,"CHL",3,"BOG","08",4,"169",1,"198",1,8,1,3004501000,"08",33,"KG",3191,3463.68,3191,44863.05,105657046.3,25860.81,4439.99,150.66,0
501,"02",211,"CHL",3,"BOG","08",4,"169",1,"198",1,8,1,3004902900,"08",33,"KG",1467,1581.99,1467,46631.49,109656582.9,33125.6,2701.66,172.01,0
501,"02",211,"CHL",3,"BOG","08",4,"169",1,"198",1,8,1,3304990000,"08",33,"KG",126,137,126,2768.1,6508439.76,2510.11,260.02,11.12,0
501,"02",211,"CHL",3,"BOG","08",4,"211",1,"198",1,8,1,9603290000,"08",11,"U",1152,56.09,50.05,380.16,893843.6,345.49,0,0,10.07
501,"02",211,"CHL",3,"BOG","08",4,"211",1,"198",1,8,1,9615110000,"08",11,"U",624,683.07,609.51,3466.2,8149833.43,2689.18,0,0,91.81
501,"02",211,"CHL",3,"BOG","08",4,"211",1,"198",1,8,1,9615900000,"08",11,"U",146,146.85,131.03,615.12,1446288.6,529.45,0,0,16.29
501,"02",211,"CHL",3,"BOG","08",4,"211",1,"198",1,8,2,6506910000,"08",11,"U",576,31,14.52,144,338577.12,0,0,0,0
501,"02",211,"CHL",6,"CTG","08",1,"221",1,"198",1,2,1,2106907900,"08",33,"KG",2200,2372.65,2200,4780.31,11239608.28,2939.89,145.31,12.79,0
501,"02",211,"CHL",6,"CTG","08",1,"221",1,"198",1,2,1,3004501000,"08",33,"KG",4651.5,5087.27,4651.5,34050.41,80652876.32,18126.23,1518.32,132.23,0
501,"02",211,"CHL",6,"CTG","08",1,"221",1,"198",1,2,1,3004902900,"08",33,"KG",2662,2904.96,2662,29729.26,69972448.63,17264.55,873.62,109.79,0
501,"02",211,"CHL",6,"CTG","08",1,"472",1,"198",1,2,1,3004501000,"08",33,"KG",3565,3821.09,3565,56192.2,132524993.8,22768.21,639.29,185.13,0
501,"02",211,"CHL",6,"CTG","08",1,"472",1,"198",1,2,1,3004902900,"08",33,"KG",164,179.91,164,8055.52,18940380.29,7634.64,193.31,26.85,0
501,"02",215,"CHN",2,"BAQ","08",1,"043",1,"198",1,8,2,7404000000,"08",33,"KG",114949,114975,114949,295522.84,702531452.4,0,0,0,0
501,"02",218,"TWN",2,"BAQ","08",1,"043",1,"198",1,8,2,5505100000,"08",33,"KG",25118,27107,25118,26373.9,62607946.25,0,0,0,0
